"","ottaID","C1.MES","C2.IMM","C4.DIF","C5.PRO"
"1","TAOC00005",0.488732199065946,0.264762569483704,0.103855624569336,0.142649606881014
"2","TAOC00009",0.196665244147942,0.36977405443595,0.316275412117477,0.117285289298631
"3","TAOC00018",0.139521654006615,0.26405653814817,0.465008228969519,0.131413578875695
"4","TAOC00019",0.253513580027143,0.467879569145017,0.186844059772068,0.0917627910557713
"5","TAOC00022",0.556341959426611,0.221819751554923,0.0941037535907511,0.127734535427714
"6","TAOC00024",0.288602907541403,0.269640476882762,0.191992190232003,0.249764425343832
"7","TAOC00029",0.0454285770352612,0.154521407913308,0.347744235549989,0.452305779501442
"8","TAOC00034",0.130380513527452,0.27721944093508,0.367082367803346,0.225317677734123
"9","TAOC00068",0.392883049256146,0.275984480644634,0.0725622816682942,0.258570188430925
"10","TAOC00070",0.200813261127343,0.387701455869873,0.345738508295967,0.0657467747068164
"11","TAOC00095",0.559789620693547,0.250732498356978,0.0753692645701036,0.114108616379372
"12","TAOC00098",0.492575286417143,0.211837525180443,0.102384746063404,0.19320244233901
"13","TAOC00099",0.602441302977514,0.208786137291372,0.0960057107782777,0.0927668489528363
"14","TAOC00101",0,0.419122074868493,0.414344032791041,0.166533892340466
"15","TAOC00118",0.0191711001085544,0.228954520155171,0.666089160989578,0.0857852187466968
"16","TAOC00121",0.323354939693365,0.256934187066554,0.129341962879419,0.290368910360662
"17","TAOC00128",0.122633044216282,0.194462640300141,0.244989062529618,0.437915252953959
"18","TAOC00135",0.648087013973052,0.122332038029305,0.0750423895995196,0.154538558398124
"19","TAOC00158",0.197044718097695,0.284009161544664,0.20534313392607,0.313602986431571
"20","TAOC00171",0.418354471942536,0.297976696900947,0.113472053043747,0.17019677811277
"21","TAOC00191",0.228170148904724,0.247502658770756,0.262918807350651,0.26140838497387
"22","TAOC00192",0.104445070682522,0.52816710695135,0.241438855389712,0.125948966976417
"23","TAOC00195",0.114240169670242,0.357064119981565,0.333149820490761,0.195545889857432
"24","TAOC00208",0.282465502948182,0.35054718691348,0.255464221851021,0.111523088287317
"25","TAOC00220",0.304313210792062,0.24610272721383,0.134413802457498,0.315170259536611
"26","TAOC00224",0.141175984892562,0.275707381556635,0.435844148033808,0.147272485516996
"27","TAOC00229",0.283337112881652,0.346782737658946,0.218944114363926,0.150936035095476
"28","TAOC00230",0.0659374362668587,0.0733712054727388,0.426212962874512,0.43447839538589
"29","TAOC00240",0.336422571679892,0.421446447635423,0.108929880057607,0.133201100627079
"30","TAOC00241",0.695059580109491,0.167914517072824,0.047523676167801,0.0895022266498838
"31","TAOC00255",0.00923757613484886,0.0782760360765474,0.240505215401521,0.671981172387083
"32","TAOC00268",0.0916514074924724,0.24603575958737,0.530848120289523,0.131464712630634
"33","TAOC00281",0.144335644346481,0.372898182743611,0.357211157917958,0.12555501499195
"34","TAOC00287",0.151426482195193,0.384724246096482,0.261179730426684,0.202669541281641
"35","TAOC00291",0.11851241603553,0.188885974255182,0.506368125275719,0.186233484433569
"36","TAOC00313",0.207882008898403,0.303536469318097,0.321709495689031,0.16687202609447
"37","TAOC00329",0.0427661668691279,0.156598024640695,0.521484232710174,0.279151575780003
"38","TAOC00334",0.285194075669028,0.361955918971523,0.151083612717949,0.2017663926415
"39","TAOC00341",0.577258705993604,0.172578457562274,0.0779824454773346,0.172180390966787
"40","TAOC00344",0.49262621585745,0.224301793898996,0.0984171219026582,0.184654868340896
"41","TAOC00385",0.31779756105129,0.452032310286312,0.166238172741767,0.0639319559206314
"42","TAOC00411",0.220151372454144,0.15782908274368,0.179629475573159,0.442390069229017
"43","TAOC00417",0.0967909062062607,0.45363584559323,0.345044919219823,0.104528328980686
"44","TAOC00422",0.138655475088371,0.244593996685471,0.420039738595,0.196710789631157
"45","TAOC00460",0.112377582442664,0.205570736199822,0.398076736263424,0.283974945094089
"46","TAOC00462",0.302709109503699,0.33938614374823,0.190297073359958,0.167607673388114
"47","TAOC00469",0.144961402221868,0.356585189652603,0.265948543234726,0.232504864890803
"48","TAOC00474",0.137376879158998,0.315309581092918,0.410678984570744,0.13663455517734
"49","TAOC00491",0.0867613286879143,0.194692973951383,0.426597266050182,0.29194843131052
"50","TAOC00505",0.466043641820519,0.337759759332568,0.109335709000864,0.0868608898460486
"51","TAOC00507",0.239259473281875,0.378141539790001,0.210955780545806,0.171643206382318
"52","TAOC00516",0.0276412317186134,0.227486932162906,0.516605757621998,0.228266078496483
"53","TAOC00518",0.645056736740599,0.223121662836934,0.0466825710590661,0.0851390293634003
"54","TAOC00521",0.526479091417328,0.200736496379606,0.113337408612356,0.15944700359071
"55","TAOC00525",0.0479873594828983,0.104143781259024,0.367028781406107,0.480840077851972
"56","TAOC00535",0.135379789282806,0.408024161581235,0.308476424722104,0.148119624413855
"57","TAOC00551",0.305810780066515,0.241379178680358,0.270033040227202,0.182777001025926
"58","TAOC00555",0.562644755305657,0.238530778023168,0.0977309694179603,0.101093497253214
"59","TAOC00557",0.180131249459731,0.368501337300136,0.319239403508746,0.132128009731387
"60","TAOC00558",0.277758467004576,0.215273635987192,0.222012319304204,0.284955577704028
"61","TAOC00559",0.608189851374291,0.199008535488275,0.0872820642656917,0.105519548871742
"62","TAOC00565",0.444456794138284,0.322195065445873,0.0879095514601621,0.145438588955681
"63","TAOC00566",0.0496682496579145,0.0924954002646703,0.207190986419673,0.650645363657742
"64","TAOC00576",0.615408362779381,0.18664002226354,0.0699705608832105,0.127981054073869
"65","TAOC00578",0.195530276794365,0.361055754633955,0.264902045840247,0.178511922731433
"66","TAOC00579",0.313447528860253,0.276994731803093,0.200795874158371,0.208761865178283
"67","TAOC00581",0.27343801885814,0.443497485684672,0.0878877771731798,0.195176718284008
"68","TAOC00583",0.444878935156358,0.297495049932953,0.102449022107871,0.155176992802818
"69","TAOC00591",0.0879043241472324,0.170140913207944,0.295736077577851,0.446218685066972
"70","TAOC00602",0.169566241862692,0.280844854087328,0.358524763847765,0.191064140202215
"71","TAOC00622",0.0106099697054273,0.0558078769391175,0.413502884563316,0.520079268792139
"72","TAOC00642",0.332400325416438,0.329490699081691,0.151916114520479,0.186192860981392
"73","TAOC00647",0.466365179641986,0.312753180901593,0.107197621509356,0.113684017947064
"74","TAOC00648",0.32482698586499,0.392297002525912,0.159913443768952,0.122962567840146
"75","TAOC00657",0.299371196378658,0.373523488217559,0.143872296403341,0.183233019000443
"76","TAOC00665",0.148310835284336,0.309255053803431,0.351396440104445,0.191037670807788
"77","TAOC00670",0.558349399670827,0.240300059317726,0.085909351536121,0.115441189475326
"78","TAOC00672",0.189113217917771,0.289736224524087,0.330896907427464,0.190253650130678
"79","TAOC00673",0.147733227135141,0.0614944271669301,0.105344849284571,0.685427496413358
"80","TAOC00675",0.266349426018324,0.482530728002299,0.160240251962949,0.0908795940164275
"81","TAOC00676",0.0932461097884239,0.117711157114097,0.187154764439357,0.601887968658121
"82","TAOC00682",0.452481903955065,0.31948135141029,0.0857005562418931,0.142336188392752
