,s1/MES,s2/IMM,s3/PRO,s4/DIF,s5/ANM
ESRRG,-0.079121206,-0.152396288,0.296814715,0.496673839,0.116928108
FILIP1L,1.257060594,-0.144043712,-0.295181342,0.001671782,-1.228591741
TPBG,0.434122958,-0.106807966,-0.590645934,-0.041011731,-1.010561468
RHOB,0.403009404,-0.157971106,0.080766159,0.2164289,-0.62033997
MARCKS,0.611016106,0.082202836,-0.103041605,-0.54949428,-0.990347466
PLSCR4,0.195644439,0.026417236,-0.466517335,0.350303692,-0.249206733
FCER1G,0.534632669,0.663568893,-1.019574748,-0.328437887,-0.36378381
NUSAP1,-0.22151776,0.391266289,0.297002621,-0.54509196,-0.168338551
EDN1,0.411745071,0.076299009,-0.211153849,0.497115485,0.00067762
TOX,0.098157737,0.121552341,0.866496257,0.097040609,-0.026908216
IGFBP4,0.980769665,-0.3074689,-0.150302132,0.14223907,-1.124356768
ISLR,1.08635063,-0.249442497,-0.17199402,0.130669101,-1.184253591
FYB,0.614193465,0.525603172,-0.762974268,-0.24104207,-0.022487905
CNN1,1.032693953,-0.043641971,0.10970388,-0.098764572,-0.386624648
ADAMDEC1,0.826975442,1.537370379,-0.385466426,-0.312728103,0.083442305
ZBED2,-0.046602072,0.064290947,-0.715758499,0.814486121,-0.309373179
NID2,1.14715089,-0.150047711,-0.183085025,0.028292511,-1.17556224
LOXL1,1.192579572,-0.21341356,-0.028583039,-0.281353136,-1.117862446
