Gene Name,Diff,Imm,Mes,Pro
ACSL3,-1.8995,-0.9897,3.498,-0.7379
ACSL4,-0.5461,1.8507,2.8215,-3.9684
ACSL5,7.2242,5.279,-1.5109,-10.3697
ACSL6,-0.9683,0.9253,-1.7701,1.697
ACSM1,4.0082,-0.9473,-3.3632,0.6056
ACSM3,1.9076,-1.4584,-4.1906,3.6617
ACTA1,-0.8497,-3.2629,3.9715,-0.0396
ACTA2,-5.5519,-2.1428,18.1499,-6.4544
ACTB,-1.7582,0.8326,7.0749,-5.8341
ACTC1,-3.7315,-3.9651,5.6157,1.6034
ACTG1,-2.0399,-1.6878,5.2882,-1.5654
ACTG2,-5.5132,-2.9359,18.1339,-5.6641
ACTL6A,-4.1856,3.3335,-2.1102,2.6087
ACTL6B,0.8494,-1.1232,-1.7635,1.9778
ACTL7A,2.4293,0.7265,-2.0497,-0.8237
ACTL7B,1.4302,1.1153,-0.9511,-1.3633
ACTL8,-0.8057,0.4918,-1.9536,2.1319
ACTN1,-1.0979,-3.2626,8.3872,-3.5122
ACTN2,-0.7625,-1.5059,-1.665,3.7213
ACTN3,0.9042,-0.8393,0.2492,-0.2616
ACTN4,-0.5349,-0.8431,3.2557,-1.8456
ACTR10,-3.6186,0.8735,0.2292,2.1081
ACTR1A,-5.0534,-0.286,4.5573,0.292
ACTR1B,0.5529,-0.1599,-4.1416,3.6036
ACTR2,-3.1479,0.0405,4.5463,-1.5594
ACTR3,-3.3224,4.3799,3.8955,-4.8528
ACTR3B,0.1194,-1.7872,-4.0175,5.5124
ACTR5,0.1843,0.6658,-2.8116,1.9039
ACTR6,-2.6003,2.7707,-1.7556,1.4257
ACTR8,-0.294,-1.1531,-1.2405,2.5212
ACVR1,-2.4206,0.5494,5.2159,-3.2694
ACVR1B,-0.9277,-2.0954,-3.893,6.8059
ACVR2A,-6.356,-1.3587,3.4383,3.3306
ACVR2B,-1.0842,-4.3994,-4.0924,9.8051
ACVRL1,-2.1635,0.7651,6.1604,-4.5448
ACY1,4.9559,2.9384,-2.669,-4.4454
ACYP1,-0.3561,1.7552,-4.2058,2.6757
ACYP2,1.3857,1.536,-4.3958,1.4999
ADA,-3.7784,3.543,0.8882,-0.7955
ADAM10,-0.3954,0.8804,4.3207,-4.6309
